WORD RANK FREQUENCY
laugh 644 6
Such 645 6
blacke 646 6
offence 647 6
drowne 648 5
bid 649 5
hence 650 5
Law 651 5
Marke 652 5
bound 653 5
Marriage 654 5
Hee 655 5
Welcome 656 5
report 657 5
tooke 658 5
Passion 659 5
Ambition 660 5
patience 661 5
Cocke 662 5
deliuer 663 5
brought 664 5
themselues 665 5
Too 666 5
twelue 667 5
Must 668 5
Osricke 669 5
Treason 670 5
place 671 5
Commission 672 5
soft 673 5
health 674 5
note 675 5
goodnight 676 5
course 677 5
presently 678 5
thinkes 679 5
Faith 680 5
Thankes 681 5
teach 682 5
m 683 5
wholsome 684 5
Could 685 5
sometimes 686 5
turn 687 5
returne 688 5
season 689 5
loose 690 5
silence 691 5
buy 692 5
Within 693 5
Follow 694 5
wicked 695 5
discourse 696 5
passe 697 5
told 698 5
sodaine 699 5
seemes 700 5
hit 701 5
generall 702 5
point 703 5
doo 704 5
onely 705 5
went 706 5
damned 707 5
sing 708 5
houre 709 5
begin 710 5
Land 711 5
warrant 712 5
freely 713 5
found 714 5
perchance 715 5
forgot 716 5
oh 717 5
Norwey 718 5
ene 719 5
ho 720 5
peece 721 5
An 722 5
ioy 723 5
guilty 724 5
shalt 725 5
speak 726 5
dye 727 5
Conscience 728 5
truth 729 5
n 730 5
desperate 731 5
damn 732 5
Lords 733 5
noise 734 5
farewell 735 5
Sea 736 5
quiet 737 5
yours 738 5
Foyles 739 5
bestow 740 5
Her 741 5
Very 742 5
gracious 743 5
slaine 744 5
vilde 745 5
Fellowes 746 5
France 747 5
French 748 5
Alexander 749 5
short 750 5
dull 751 5
mans 752 5
disposition 753 5
particular 754 5
lacke 755 5
Kingdome 756 5
knew 757 5
get 758 5
twas 759 5
yeare 760 5
cast 761 5
vowes 762 4
giues 763 4
wisedome 764 4
countenance 765 4
blame 766 4
Fare 767 4
graue 768 4
Prison 769 4
twice 770 4
Stay 771 4
closes 772 4
state 773 4
Lands 774 4
bore 775 4
Twere 776 4
Away 777 4
truly 778 4
Tell 779 4
wil 780 4
loues 781 4
awhile 782 4
followes 783 4
spirit 784 4
direct 785 4
vnnaturall 786 4
Braine 787 4
Honour 788 4
choose 789 4
rather 790 4
consequence 791 4
confesse 792 4
humbly 793 4
bodies 794 4
making 795 4
Priam 796 4
Reynoldo 797 4
wish 798 4
Adue 799 4
Into 800 4
prythee 801 4
meant 802 4
mercy 803 4
Hecuba 804 4
Norway 805 4
horrible 806 4
past 807 4
kept 808 4
hoa 809 4
list 810 4
thrice 811 4
hide 812 4
shot 813 4
Messenger 814 4
either 815 4
weare 816 4
father 817 4
heate 818 4
Question 819 4
idle 820 4
toward 821 4
try 822 4
Carriages 823 4
send 824 4
wonder 825 4
lend 826 4
distemper 827 4
Goodnight 828 4
Before 829 4
forget 830 4
perhaps 831 4
seruice 832 4
Without 833 4
sicke 834 4
Nothing 835 4
forth 836 4
shal 837 4
maker 838 4
foole 839 4
Woo 840 4
speed 841 4
begun 842 4
Moone 843 4
longer 844 4
halfe 845 4
lou 846 4
1 847 4
growne 848 4
strong 849 4
Mad 850 4
certaine 851 4
Wherein 852 4
hearing 853 4
colour 854 4
Remember 855 4
heeles 856 4
seeing 857 4
knaue 858 4
Man 859 4
visage 860 4
bosome 861 4
dread 862 4
neither 863 4
aboue 864 4
gentle 865 4
writ 866 4
heauy 867 4
figure 868 4
Dost 869 4
Head 870 4
friend 871 4
fie 872 4
comming 873 4
show 874 4
holds 875 4
Cornelius 876 4
impart 877 4
Trumpet 878 4
Custome 879 4
flye 880 4
whom 881 4
Player 882 4
glad 883 4
Asse 884 4
Doubt 885 4
Treasure 886 4
Cannon 887 4
morrow 888 4
blessing 889 4
shortly 890 4
Starre 891 4
turne 892 4
reason 893 4
Gonzago 894 4
cries 895 4
return 896 4
gainst 897 4
Get 898 4
ease 899 4
violent 900 4
instant 901 4
Prologue 902 4
cunning 903 4
fault 904 4
force 905 4
Beautie 906 4
See 907 4
e 908 4
lose 909 4
Beast 910 4
Here 911 4
Doth 912 4
dreames 913 4
Nunnery 914 4
foure 915 4
throw 916 4
length 917 4
custome 918 4
newes 919 4
Should 920 4
Soules 921 4
stronger 922 4
Vnkle 923 4
cursed 924 4
already 925 4
Ere 926 4
thankes 927 4
drown 928 4
Stand 929 4
murther 930 4
danger 931 4
hang 932 4
distracted 933 4
sorrow 934 4
Spade 935 4
count 936 4
iudgement 937 4
tend 938 4
left 939 4
Anon 940 4
drift 941 4
Still 942 4
Beard 943 4
Snow 944 4
wretched 945 4
Forme 946 4
weepe 947 4
Honestie 948 4
heerein 949 4
wide 950 4
bones 951 4
mortall 952 4
commend 953 4
doore 954 4
base 955 4
lies 956 4
Gallowes 957 4
Hold 958 4
Ladies 959 4
meete 960 4
keepes 961 4
shee 962 4
secret 963 4
Mes 964 3
accident 965 3
visit 966 3
foolish 967 3
speakes 968 3
Rat 969 3
hard 970 3
Greefe 971 3
Beleeue 972 3
Mouse 973 3
violence 974 3
hower 975 3
goodly 976 3
strooke 977 3
teare 978 3
foote 979 3
patient 980 3
wayes 981 3
start 982 3
phrase 983 3
louing 984 3
imports 985 3
Clowne 986 3
After 987 3
Yea 988 3
staid 989 3
Image 990 3
meet 991 3
Cup 992 3
Circumstance 993 3
Pastorall 994 3
Something 995 3
nights 996 3
Starres 997 3
appear 998 3
sides 999 3
Bap 1000 3
ayre 1001 3
pause 1002 3
bold 1003 3
Funerall 1004 3
Elsonower 1005 3
appeare 1006 3
ten 1007 3
Begger 1008 3
presence 1009 3
Betweene 1010 3
Angels 1011 3
Vncle 1012 3
Fellow 1013 3
Soldiers 1014 3
About 1015 3
quite 1016 3
slaue 1017 3
Arm 1018 3
Shall 1019 3
receiu 1020 3
infinite 1021 3
Speech 1022 3
recouer 1023 3
dreadfull 1024 3
white 1025 3
March 1026 3
election 1027 3
edge 1028 3
Leaue 1029 3
neerer 1030 3
sense 1031 3
present 1032 3
lead 1033 3
nony 1034 3
Tale 1035 3
mother 1036 3
proue 1037 3
Ambassadors 1038 3
Sweet 1039 3
sleeping 1040 3
iust 1041 3
Giues 1042 3
sixe 1043 3
falles 1044 3
admiration 1045 3
Wittenberg 1046 3
stood 1047 3
Mine 1048 3
vses 1049 3
Tables 1050 3
fast 1051 3
Husbands 1052 3
content 1053 3
acte 1054 3
Whether 1055 3
ne 1056 3
diuell 1057 3
salt 1058 3
dare 1059 3
deny 1060 3
expresse 1061 3
Sun 1062 3
Offence 1063 3
rash 1064 3
circumstance 1065 3
been 1066 3
exercise 1067 3
offer 1068 3
Liege 1069 3
delights 1070 3
breefe 1071 3
Life 1072 3
Lights 1073 3
censure 1074 3
Pit 1075 3
Dutie 1076 3
warlike 1077 3
Some 1078 3
vnseene 1079 3
praise 1080 3
Rosincrane 1081 3
bloud 1082 3
vnder 1083 3
Together 1084 3
reueng 1085 3
Courtier 1086 3
order 1087 3
prou 1088 3
bloody 1089 3
Spundge 1090 3
liued 1091 3
Court 1092 3
think 1093 3
Chamber 1094 3
Rapier 1095 3
find 1096 3
Vnckle 1097 3
stop 1098 3
pace 1099 3
Soueraigne 1100 3
house 1101 3
stuffe 1102 3
sits 1103 3
Tragedie 1104 3
new 1105 3
hearts 1106 3
Ioy 1107 3
maine 1108 3
saue 1109 3
bitter 1110 3
generous 1111 3
offended 1112 3
behinde 1113 3
faine 1114 3
likes 1115 3
suffer 1116 3
seeming 1117 3
]. 1118 3
Voltemand 1119 3
wretch 1120 3
Braines 1121 3
smiling 1122 3
Masters 1123 3
heartily 1124 3
envenom 1125 3
dreame 1126 3
Dyes 1127 3
third 1128 3
next 1129 3
subiect 1130 3
encounter 1131 3
Norman 1132 3
matters 1133 3
remaines 1134 3
Motiue 1135 3
straight 1136 3
Dead 1137 3
leaues 1138 3
counsell 1139 3
beating 1140 3
villaine 1141 3
morning 1142 3
Actor 1143 3
Pipe 1144 3
flesh 1145 3
conscience 1146 3
red 1147 3
indifferent 1148 3
Rose 1149 3
flat 1150 3
E 1151 3
termes 1152 3
incestuous 1153 3
yes 1154 3
Breake 1155 3
loued 1156 3
Deere 1157 3
brow 1158 3
locke 1159 3
wont 1160 3
Mountaine 1161 3
read 1162 3
ee 1163 3
speciall 1164 3
close 1165 3
heauenly 1166 3
] 1167 3
growes 1168 3
Alacke 1169 3
vouchsafe 1170 3
Peace 1171 3
Natiue 1172 3
oddes 1173 3
sate 1174 3
murder 1175 3
person 1176 3
Ambitious 1177 3
gather 1178 3
Iephta 1179 3
Prince 1180 3
ring 1181 3
dyed 1182 3
Vnto 1183 3
braue 1184 3
enter 1185 3
safety 1186 3
assay 1187 3
whereto 1188 3
kisses 1189 3
vnfold 1190 3
spirits 1191 3
knowes 1192 3
married 1193 3
along 1194 3
modestie 1195 3
entertainment 1196 3
practice 1197 3
wisest 1198 3
blesse 1199 3
Bring 1200 3
Day 1201 3
None 1202 3
Mistris 1203 3
shake 1204 3
tane 1205 3
honour 1206 3
Naturall 1207 3
hits 1208 3
bene 1209 3
pay 1210 3
liberall 1211 3
possible 1212 3
Coarse 1213 3
Letter 1214 3
sleepes 1215 3
audience 1216 3
bare 1217 3
Cap 1218 3
meere 1219 3
reuenge 1220 3
Conceit 1221 3
shadow 1222 3
iustly 1223 3
others 1224 3
change 1225 3
otherwise 1226 3
stands 1227 3
bend 1228 3
fauour 1229 3
Priest 1230 3
Arras 1231 3
outward 1232 3
bent 1233 3
Seemes 1234 3
faithfull 1235 3
choyce 1236 3
Historicall 1237 3
Manet 1238 3
saies 1239 3
Whereon 1240 3
wag 1241 3
ist 1242 3
Arme 1243 3
Scena 1244 3
Rapiers 1245 3
Sunne 1246 3
Children 1247 3
stirre 1248 3
few 1249 3
twill 1250 3
feed 1251 3
World 1252 3
quantitie 1253 3
remembrance 1254 3
lets 1255 3
stole 1256 3
guilt 1257 3
property 1258 3
Horse 1259 3
tame 1260 3
Each 1261 3
thinking 1262 3
Hercules 1263 3
sore 1264 3
Wit 1265 3
Cosin 1266 3
sends 1267 3
buriall 1268 3
open 1269 3
ment 1270 3
neede 1271 3
Soft 1272 3
wheele 1273 3
Against 1274 3
Maids 1275 3
deepe 1276 3
tenders 1277 3
caught 1278 3
Verie 1279 3
extasie 1280 3
greene 1281 3
Feare 1282 3
consider 1283 3
Stage 1284 3
answere 1285 3
seal 1286 3
mock 1287 3
effects 1288 3
carry 1289 3
sings 1290 3
gaming 1291 3
Region 1292 2
wel 1293 2
sigh 1294 2
Character 1295 2
grosse 1296 2
vice 1297 2
laying 1298 2
tremble 1299 2
Fantasie 1300 2
strike 1301 2
forbid 1302 2
Their 1303 2
neyther 1304 2
seen 1305 2
working 1306 2
dry 1307 2
prepare 1308 2
Enterprize 1309 2
meeting 1310 2
dutie 1311 2
suck 1312 2
drawes 1313 2
excellence 1314 2
fare 1315 2
Slaue 1316 2
Rew 1317 2
Secunda 1318 2
lookt 1319 2
findes 1320 2
enact 1321 2
scape 1322 2
nightly 1323 2
Masse 1324 2
Thoughts 1325 2
auoyd 1326 2
rul 1327 2
blowes 1328 2
Saue 1329 2
spoken 1330 2
smooth 1331 2
Guest 1332 2
passage 1333 2
returnes 1334 2
Lobby 1335 2
thicke 1336 2
sting 1337 2
wait 1338 2
withdraw 1339 2
own 1340 2
kissing 1341 2
Scoene 1342 2
Last 1343 2
baser 1344 2
Audience 1345 2
roome 1346 2
Gent 1347 2
Lap 1348 2
Vengeance 1349 2
Capitall 1350 2
burnes 1351 2
slightly 1352 2
safely 1353 2
Rewards 1354 2
Nation 1355 2
Royall 1356 2
flame 1357 2
aint 1358 2
nine 1359 2
Clay 1360 2
translate 1361 2
desires 1362 2
often 1363 2
naked 1364 2
sorrie 1365 2
Saylors 1366 2
equall 1367 2
Powers 1368 2
Selfe 1369 2
necessary 1370 2
throwne 1371 2
moment 1372 2
yeares 1373 2
pastime 1374 2
wake 1375 2
Command 1376 2
rise 1377 2
rests 1378 2
flaming 1379 2
Sonnes 1380 2
age 1381 2
odde 1382 2
tempt 1383 2
y 1384 2
knauish 1385 2
secure 1386 2
proper 1387 2
bruite 1388 2
Heau 1389 2
whilst 1390 2
Forgiue 1391 2
Were 1392 2
Buriall 1393 2
slaughter 1394 2
Liquor 1395 2
Honourable 1396 2
Enemy 1397 2
blast 1398 2
Fines 1399 2
needfull 1400 2
muddy 1401 2
Seal 1402 2
keene 1403 2
willingly 1404 2
teeth 1405 2
cruell 1406 2
wouldest 1407 2
gifts 1408 2
Mars 1409 2
Loe 1410 2
lyes 1411 2
Voltumand 1412 2
persons 1413 2
Words 1414 2
lt 1415 2
lasting 1416 2
Garden 1417 2
quit 1418 2
Grapple 1419 2
Loues 1420 2
Long 1421 2
Maiden 1422 2
Officers 1423 2
giuing 1424 2
Celestiall 1425 2
vertue 1426 2
creatures 1427 2
